,created_at,text,retweets,likes
84,2025-04-02 21:32:05+00:00,"RT @AKTrader_ofa_mp: 😂🤣 Nasdaq and Dow Jones as of now #Trump #tariffs  

#Dowjones #Nasdaq #StockMarket #StockMarketIndia
#stockmarketcras…",1,0
85,2025-04-02 21:31:50+00:00,"THIS TRADER MAKE 200-300 percent per day! 💸

🎁 Welcome: https://t.co/uB6kS62iQY

BHkPVC12iL @Wishmitha2k03 @tettsuski @JakkapanPhapak1 @agbolahanjeje @FARID1717633263 @MashiachZachary @AlouiWissem7 @stockmarket_mem",0,0
86,2025-04-02 21:31:33+00:00,"RT @duck_jainam: We are excited to announce that our clients can access and execute Algo Trading from @robo_matic now.
.
.
.
.
#algotrading…",65,0
87,2025-04-02 21:31:23+00:00,"The reason for going public is generally because you need money for something

You sell shares of your company, so you can have money for a future Project, and if you need more money, you sell more shares

That is the idea

In practice, the stockmarket is the root of all evil https://t.co/C1U66o6T45",0,0
88,2025-04-02 21:31:19+00:00,"RT @boris_beissner: #Stock #indices have literally plunged into the abyss following #Trump's announcement of a #TariffWar.

The US #StockMa…",6,0
89,2025-04-02 21:30:47+00:00,"Freaking out about market? Seeing a sea of red is scary for sure,but this isn't the first time and it won't be the last time this has happened.  Keep your emotions in check.  Downturns are when real wealth is made over time. 
#stockmarket #correction #stocks #recession #tarriffs https://t.co/WpXWyOM3Ya",0,0
90,2025-04-02 21:30:39+00:00,"🎯Tip: Don’t Set &amp; Pray — Trade the Levels.
20 ticks is just a placeholder. Real control comes from reading key zones.
VWAP, 55, 21, 9 — spy's a textbook beauty today. Let’s eat. 📊💥

#FuturesTrading #DayTrading #SPY #TradingTips #PriceAction #Scalping #VWAP #StockMarket https://t.co/gro2BIXHuf",1,1
91,2025-04-02 21:30:29+00:00,"RT @SusanLiTV: Goldman Sachs called April 2nd a “clearing event”

Clearing what? 

#tariffs #Trade #StockMarket https://t.co/8cgc4QxQz7",2,0
92,2025-04-02 21:30:24+00:00,"RT @bull_run_100: Mukka Proteins Ltd

Wave 4 correction is done and now ready for the last rally in short term.

Need weekly closing above…",49,0
93,2025-04-02 21:30:17+00:00,"RT @litecoin_bull: Where are our haters on X saying the stockmarkets will NOT collapse.

Doge is uncovered one of the BIGGEST FINANCIAL SCA…",299,0
94,2025-04-02 21:29:56+00:00,Not a bottom in sight 👀 #stocks #stonks #gay #investing #stockmarketcrash #StockMarket,0,1
95,2025-04-02 21:29:49+00:00,"Brian Allen: “…[sinister plot of the oligarchs, devalue the stock market, make it crash, scoop up the resulting destroyed companies, instruct Trump to remove the tariffs. Make a windfall on the rising Stockmarket after the crash …Oligarch global control] …S&amp;P 500 PLUNGES…” ‼️ https://t.co/9cduWvyF5K",0,0
96,2025-04-02 21:29:27+00:00,"RT @PaytmMoney: 📢 Share Market Weekly Update: Nifty50 hits new highs, mid &amp; smallcaps rally, and the market bounces back! 📈🚀 Here’s a break…",47,0
97,2025-04-02 21:29:23+00:00,"RT @TheEconomist: Turkey’s economy has taken a hit as a result of the ongoing protests. Stockmarket regulators have banned short selling, w…",179,0
98,2025-04-02 21:29:21+00:00,"Just minutes after Trump's announcement about global tariffs, the stock market begins to reflect the impact—negatively, of course.
#NewYork 
#StockMarket https://t.co/uwEFp4Etk2",0,1
99,2025-04-02 21:29:12+00:00,"RT @sicksociety69: The #UnitedStates #StockMarket is an embarrassment! 
91% Dark Pool @ 12:18pm
#darkpoolcorruption #DarkPoolAbuse $AMC #AM…",100,0
